요양기관명,종별코드,종별명,시도코드,시도명,시군구코드,시군구명,읍면동,우편번호,주소,전화번호,경도,위도,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수
고우석제이엠오피부과의원,31,의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 도산대로 104, 1st Avenue 지하1층 (논현동)",02-3445-3456,127.0203412,37.5160775,20111031,2,1,0,0,1,0,0,0,0,0,0,0,0,0
웰성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 도산대로 104, (논현동, 1st Avenue 5,6층)",02-518-0600,127.0203412,37.5160775,20090622,1,0,0,0,1,0,0,0,0,0,0,0,0,0
뽀드베베의원,31,의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 강남대로 598, 7층 (논현동)",02-544-6761,127.0203715,37.5151992,20061002,1,0,0,0,1,0,0,0,0,0,0,0,0,0
조앤박의원,31,의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 강남대로 598, 5층 (논현동, 보림빌딩)",02-517-8830,127.0203715,37.5151992,20100302,1,0,0,0,1,0,0,0,0,0,0,0,0,0
오늘성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 강남대로 596, 극동빌딩 10,11층 (논현동)",02-533-3313,127.020372,37.5150269,20090716,3,1,0,0,2,0,0,0,0,0,0,0,0,0
이쁜여성의원,31,의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 강남대로 596, 극동빌딩 401호 (논현동)",02-3448-1004,127.020372,37.5150269,20130429,2,0,0,0,2,0,0,0,0,0,0,0,0,0
서울민치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 강남대로 596, (논현동, 극동빌딩 4층일부)",02-3442-1232,127.020372,37.5150269,20050318,1,0,0,0,0,1,0,0,0,0,0,0,0,0
강남피어리의원,31,의원,110000,서울,110001,강남구,논현동,6043,"서울특별시 강남구 강남대로 590, 10층 (논현동, 미혜빌딩)",02-515-0202,127.0204374,37.5145482,20110830,1,1,0,0,0,0,0,0,0,0,0,0,0,0
김한성성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6043,"서울특별시 강남구 강남대로 590, 11층 (논현동, 미혜빌딩)",02-3442-2302,127.0204374,37.5145482,20050319,1,0,0,0,1,0,0,0,0,0,0,0,0,0
리벤스이비인후과의원,31,의원,110000,서울,110001,강남구,논현동,6043,"서울특별시 강남구 강남대로 590, 미혜빌딩 2층 (논현동)",02-737-1555,127.0204374,37.5145482,20080225,1,0,0,0,1,0,0,0,0,0,0,0,0,0
윤헤어라인의원,31,의원,110000,서울,110001,강남구,논현동,6043,"서울특별시 강남구 강남대로 590, 9층 (논현동, 미혜빌딩)",02-517-7940,127.0204374,37.5145482,20121102,1,0,0,0,1,0,0,0,0,0,0,0,0,0
디바성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6043,"서울특별시 강남구 강남대로 584, 7층 (논현동, 운산빌딩)",02-542-7002,127.0206351,37.5139392,20151103,1,0,0,0,1,0,0,0,0,0,0,0,0,0
티에스성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 도산대로 108, 12, 13층 (논현동, 렉스타워)",02-512-7580,127.0206793,37.5161887,20150630,5,0,0,0,5,0,0,0,0,0,0,0,0,0
오케이치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6043,"서울특별시 강남구 강남대로 578, 4층 407호 (논현동, 성현빌딩)",02-543-4422,127.020863,37.513382,20150702,1,0,0,0,0,1,0,0,0,0,0,0,0,0
삐땅기치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 도산대로 114, 5층 (논현동, 수일빌딩 5층일부)",02-542-2870,127.0212438,37.51646,20120619,1,0,0,0,0,1,0,0,0,0,0,0,0,0
오즈성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6044,"서울특별시 강남구 강남대로 562, 6층 (논현동)",02-511-7373,127.0212815,37.5121864,20020502,1,0,0,0,1,0,0,0,0,0,0,0,0,0
클라이만의원,31,의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 도산대로 116, 3층 (논현동)",0507-1381-4770,127.0215419,37.5166051,20070625,1,1,0,0,0,0,0,0,0,0,0,0,0,0
제이앤케이의원,31,의원,110000,서울,110001,강남구,논현동,6038,"서울특별시 강남구 도산대로 120, 12층 (논현동)",02-544-3009,127.021882,37.5167404,20130417,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4월31일치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6110,"서울특별시 강남구 강남대로 548, 5층 (논현동, 건우빌딩)",02-562-2875,127.0219111,37.511039,19970712,1,0,0,0,0,1,0,0,0,0,0,0,0,0
위즈치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6110,"서울특별시 강남구 강남대로 546, 3층 (논현동, 삼양빌딩)",02-3448-5588,127.0219178,37.5108613,20021217,1,0,0,0,0,0,0,0,1,0,0,0,0,0
리메인의원,31,의원,110000,서울,110001,강남구,논현동,6039,"서울특별시 강남구 도산대로 122, (논현동, 에메랄드타워 9층)",02-3443-4147,127.0221405,37.516854,20140313,1,0,0,0,1,0,0,0,0,0,0,0,0,0
미드림성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6039,"서울특별시 강남구 도산대로 122, 8층 (논현동, 에메랄드타워)",02-515-6461,127.0221405,37.516854,20071009,1,0,0,0,1,0,0,0,0,0,0,0,0,0
이노성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6039,"서울특별시 강남구 도산대로 122, (논현동)",02-517-5991,127.0221405,37.516854,20131210,1,0,0,0,1,0,0,0,0,0,0,0,0,0
김덕현피부과의원,31,의원,110000,서울,110001,강남구,논현동,6114,"서울특별시 강남구 강남대로 532, 2층 (논현동, 신성빌딩)",02-549-8599,127.0224836,37.5095804,19860721,1,0,0,0,1,0,0,0,0,0,0,0,0,0
이도희정신과의원,31,의원,110000,서울,110001,강남구,논현동,6114,"서울특별시 강남구 강남대로 532, (논현동, 2층 일부)",02-3447-7575,127.0224836,37.5095804,19991004,1,0,0,0,1,0,0,0,0,0,0,0,0,0
문홍세신경정신과의원,31,의원,110000,서울,110001,강남구,논현동,6114,"서울특별시 강남구 강남대로 524, (논현동)",02-547-8847,127.0227869,37.5090367,19830323,1,0,0,0,1,0,0,0,0,0,0,0,0,0
우성한의원,93,한의원,110000,서울,110001,강남구,논현동,6110,"서울특별시 강남구 학동로4길 14, (논현동)",02-543-9996,127.0230718,37.5104898,19981012,2,0,0,0,0,0,0,0,0,2,0,0,0,0
미토의원,31,의원,110000,서울,110001,강남구,논현동,6114,"서울특별시 강남구 강남대로 518, 9층 (논현동)",02-762-6333,127.0231565,37.5084746,20180412,1,0,0,0,1,0,0,0,0,0,0,0,0,0
그림성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6039,"서울특별시 강남구 도산대로 134, (논현동, 페이토빌딩 6층)",02-543-5467,127.0234091,37.5173572,20071009,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맹화섭한의원,93,한의원,110000,서울,110001,강남구,논현동,6114,"서울특별시 강남구 강남대로 506, (논현동)",02-518-7277,127.0235171,37.5074896,20020415,1,0,0,0,0,0,0,0,0,1,0,0,0,0
라메스피부과의원,31,의원,110000,서울,110001,강남구,논현동,6119,"서울특별시 강남구 강남대로 492, (논현동, 한맥빌딩 7층)",02-549-5052,127.024134,37.506197,20110506,1,0,0,0,1,0,0,0,0,0,0,0,0,0
아크로한의원,93,한의원,110000,서울,110001,강남구,논현동,6120,"서울특별시 강남구 강남대로 480, 2층 (논현동)",02-6925-1175,127.0245552,37.5052903,20180706,3,0,0,0,0,0,0,0,0,3,0,0,0,0
닥터베이직의원,31,의원,110000,서울,110001,강남구,논현동,6120,"서울특별시 강남구 강남대로 478, 6층 (논현동, 제우빌딩)",02-3448-0090,127.0246963,37.5051136,20120604,1,1,0,0,0,0,0,0,0,0,0,0,0,0
루브르성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6120,"서울특별시 강남구 강남대로 476, urbanhive 10층 (논현동)",02-535-1719,127.0248029,37.5049158,20190703,1,0,0,0,1,0,0,0,0,0,0,0,0,0
플레저성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6120,"서울특별시 강남구 강남대로 476, urbanhive 5층 (논현동)",02-593-9995,127.0248029,37.5049158,20200825,2,0,0,0,2,0,0,0,0,0,0,0,0,0
코미인의원,31,의원,110000,서울,110001,강남구,논현동,6120,"서울특별시 강남구 봉은사로 105, 8층 (논현동, 동양빌딩)",02-511-3050,127.0250571,37.5049634,20150729,1,0,0,0,1,0,0,0,0,0,0,0,0,0
서울매스티지치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6120,"서울특별시 강남구 봉은사로 105, 1층, 6층 (논현동, 동양빌딩)",02-3446-8275,127.0250571,37.5049634,20101213,2,0,0,0,0,1,0,0,1,0,0,0,0,0
신논현닥터쁘띠의원,31,의원,110000,서울,110001,강남구,논현동,6120,"서울특별시 강남구 봉은사로 117, 이건빌딩 2층 (논현동)",02-593-3070,127.0264873,37.5053198,20191224,1,0,0,0,1,0,0,0,0,0,0,0,0,0
휘마의원,31,의원,110000,서울,110001,강남구,논현동,6120,"서울특별시 강남구 강남대로118길 42, 3층 (논현동)",02-547-3075,127.0266976,37.5071544,20090320,1,0,0,0,1,0,0,0,0,0,0,0,0,0
연세인의원,31,의원,110000,서울,110001,강남구,논현동,6115,"서울특별시 강남구 강남대로122길 50, 2층 (논현동)",02-543-8177,127.0270957,37.5088851,20090216,1,0,0,0,1,0,0,0,0,0,0,0,0,0
첨성대한의원,93,한의원,110000,서울,110001,강남구,논현동,6113,"서울특별시 강남구 학동로12길 35, 2층 (논현동, 스마트빌딩)",02-3444-1075,127.0271271,37.5104591,20050131,1,0,0,0,0,0,0,0,0,1,0,0,0,0
로즈여성의원,31,의원,110000,서울,110001,강남구,논현동,6115,"서울특별시 강남구 논현로115길 72, 2,3층 (논현동)",02-512-8900,127.0271666,37.5085235,20081028,2,0,0,0,2,0,0,0,0,0,0,0,0,0
다미인성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6041,"서울특별시 강남구 논현로 715, 3층 301,302호 (논현동)",0507-1427-0003,127.0296189,37.5157436,20001010,1,0,0,0,1,0,0,0,0,0,0,0,0,0
서울코웰치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6112,"서울특별시 강남구 논현로 667, (논현동, 진우빌딩 3층일부)",02-552-2882,127.0305601,37.513563,20130924,1,0,0,0,0,1,0,0,0,0,0,0,0,0
토마스정신과의원,31,의원,110000,서울,110001,강남구,논현동,6049,"서울특별시 강남구 논현로150길 26, 5층 (논현동)",02-543-6598,127.0306751,37.5194728,20070409,1,0,0,0,1,0,0,0,0,0,0,0,0,0
플러스후강남의원,31,의원,110000,서울,110001,강남구,논현동,6105,"서울특별시 강남구 논현로 656, B1~1층 (논현동)",02-548-8276,127.0318043,37.5125368,20210321,2,1,0,0,1,0,0,0,0,0,0,0,0,0
뉴서울치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6053,"서울특별시 강남구 학동로 219, (논현동, 국제빌딩 301호)",02-540-7575,127.0331486,37.5149993,20110304,1,0,0,0,0,1,0,0,0,0,0,0,0,0
진비뇨기과의원,31,의원,110000,서울,110001,강남구,논현동,6122,"서울특별시 강남구 논현로 607, 2층 (논현동)",02-546-2359,127.0332962,37.5079037,20030502,1,0,0,0,1,0,0,0,0,0,0,0,0,0
김성민이비인후과의원,31,의원,110000,서울,110001,강남구,논현동,6109,"서울특별시 강남구 봉은사로 205, 2층 (논현동)",02-541-5252,127.0344772,37.5077483,20080220,1,0,0,0,1,0,0,0,0,0,0,0,0,0
서울삼정치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6109,"서울특별시 강남구 봉은사로 205, (논현동, 상하빌딩 2층)",02-548-5528,127.0344772,37.5077483,20100514,1,0,0,0,0,1,0,0,0,0,0,0,0,0
닥터안헤어플란트의원,31,의원,110000,서울,110001,강남구,논현동,6105,"서울특별시 강남구 언주로 647, 2층 (논현동, 강남빌딩)",0507-1448-5858,127.0349695,37.5143533,20041011,1,0,0,0,1,0,0,0,0,0,0,0,0,0
미소안피부과의원,31,의원,110000,서울,110001,강남구,논현동,6109,"서울특별시 강남구 봉은사로 213, 4층 (논현동, 센트럴타워)",02-514-2561,127.0353978,37.5080467,20080721,1,0,0,0,1,0,0,0,0,0,0,0,0,0
늘서울치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6061,"서울특별시 강남구 언주로 708, (논현동, 경원빌딩, 603호)",02-549-2875,127.0357398,37.5162917,20041231,1,0,0,0,0,0,0,0,1,0,0,0,0,0
최송림치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6061,"서울특별시 강남구 언주로134길 12, (논현동, 삼정빌딩 2층일부)",02-549-2808,127.0366019,37.5165188,20100623,1,0,0,0,0,1,0,0,0,0,0,0,0,0
엄나구모성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6054,"서울특별시 강남구 도산대로 318, 6층 (논현동, SB빌딩)",02-512-6838,127.0368945,37.521843,20030901,1,0,0,0,1,0,0,0,0,0,0,0,0,0
이형복산부인과의원,31,의원,110000,서울,110001,강남구,논현동,6061,"서울특별시 강남구 학동로 313, (논현동, 지하1층, 2층~3층)",02-544-2600,127.037436,37.5162518,19840306,1,0,0,0,1,0,0,0,0,0,0,0,0,0
아이토마토한의원,93,한의원,110000,서울,110001,강남구,논현동,6055,"서울특별시 강남구 도산대로 328, 4층 (논현동)",02-2649-1140,127.0379816,37.5223957,20160531,1,0,0,0,0,0,0,0,0,1,0,0,0,0
토마토성형외과의원,31,의원,110000,서울,110001,강남구,논현동,6055,"서울특별시 강남구 선릉로 755, 4층 (논현동, 진성빌딩)",02-556-9158,127.0391948,37.5220267,20031201,1,0,0,0,1,0,0,0,0,0,0,0,0,0
네이처피부과의원,31,의원,110000,서울,110001,강남구,논현동,6055,"서울특별시 강남구 선릉로 753, 6층 (논현동)",02-512-3375,127.0392752,37.5218839,20100304,1,0,0,0,1,0,0,0,0,0,0,0,0,0
나도균의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 학동로 338, (논현동, S105호 일부)",02-3446-7510,127.0402809,37.5165899,20090106,1,1,0,0,0,0,0,0,0,0,0,0,0,0
연세스타내과의원,31,의원,110000,서울,110001,강남구,논현동,6059,"서울특별시 강남구 선릉로 719, (논현동, 와이앤케이빌딩 5층)",02-515-3305,127.0404201,37.5189081,20131226,1,0,0,0,1,0,0,0,0,0,0,0,0,0
이재신치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6060,"서울특별시 강남구 학동로 343, (논현동, 2층일부)",02-556-2845,127.0406303,37.5174482,20010703,1,0,0,0,0,1,0,0,0,0,0,0,0,0
시카고초콜렛치과의원,51,치과의원,110000,서울,110001,강남구,논현동,6060,"서울특별시 강남구 선릉로 703, 3층 (논현동, H&S빌딩)",02-3443-2879,127.040766,37.5176921,20120326,1,0,0,0,0,1,0,0,0,0,0,0,0,0
류한욱정신과의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 학동로 342, (논현동, 301, 301-1호)",02-3014-9656,127.0408461,37.5167495,20060529,1,0,0,0,1,0,0,0,0,0,0,0,0,0
비타민의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 학동로 342, (논현동, SK허브 302호)",02-543-2005,127.0408461,37.5167495,20110516,1,0,0,0,1,0,0,0,0,0,0,0,0,0
송안과의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 학동로 342, 403호 (논현동)",02-542-9924,127.0408461,37.5167495,20060704,1,0,0,0,1,0,0,0,0,0,0,0,0,0
신내과의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 학동로 342, 408호 (논현동)",02-545-1287,127.0408461,37.5167495,19790704,1,0,0,0,1,0,0,0,0,0,0,0,0,0
에스제이여성의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 학동로 342, (논현동, 402-1호, 402-2호)",02-3014-9314,127.0408461,37.5167495,20060607,1,0,0,0,1,0,0,0,0,0,0,0,0,0
오혜연산부인과의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 학동로 342, 308호 (논현동)",02-3445-8877,127.0408461,37.5167495,20070307,1,0,0,0,1,0,0,0,0,0,0,0,0,0
청담연세피부과의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 학동로 342, (논현동, 309호, 309-1호)",02-547- 0041,127.0408461,37.5167495,20060809,1,0,0,0,1,0,0,0,0,0,0,0,0,0
코어내과의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 학동로 342, 306호 (논현동, 에스케이 허브블루)",02-3443-7725,127.0408461,37.5167495,20070723,1,0,0,0,1,0,0,0,0,0,0,0,0,0
강남영상의학과의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 선릉로 669, 2층 (논현동)",02-545-0261,127.041237,37.5166379,19990702,1,0,0,0,1,0,0,0,0,0,0,0,0,0
김주룡이비인후과의원,31,의원,110000,서울,110001,강남구,논현동,6099,"서울특별시 강남구 선릉로 669, (논현동, 402호)",02-548-1805,127.041237,37.5166379,19860401,1,0,0,0,1,0,0,0,0,0,0,0,0,0
서울ND(엔디)의원,31,의원,110000,서울,110001,강남구,논현동,6100,"서울특별시 강남구 선릉로 641, 3층 302, 303호 (논현동)",02-3443-9920,127.0423077,37.5137633,20100316,1,0,0,0,1,0,0,0,0,0,0,0,0,0
김정일정신건강의학과의원,31,의원,110000,서울,110001,강남구,논현동,6103,"서울특별시 강남구 선릉로 603, 3층 (논현동)",02-540-7576,127.0434777,37.5107792,19950816,1,0,0,0,1,0,0,0,0,0,0,0,0,0
에비뉴치과의원,51,치과의원,110000,서울,110001,강남구,대치동,6198,"서울특별시 강남구 선릉로 422, 4층 (대치동)",02-555-7532,127.0501624,37.502691,20061012,1,0,0,0,0,1,0,0,0,0,0,0,0,0
에스듈의원,31,의원,110000,서울,110001,강남구,대치동,6192,"서울특별시 강남구 선릉로86길 7, (대치동, 2층)",02-555-7588,127.050336,37.5033019,20110427,1,1,0,0,0,0,0,0,0,0,0,0,0,0
선릉김정신과의원,31,의원,110000,서울,110001,강남구,대치동,6192,"서울특별시 강남구 테헤란로 410, (대치동, 금강타워 502호)",02-563-6661,127.0507411,37.5045825,20110222,1,0,0,0,1,0,0,0,0,0,0,0,0,0
송은철신경과의원,31,의원,110000,서울,110001,강남구,대치동,6192,"서울특별시 강남구 테헤란로 410, 3층 301호 (대치동, 금강타워)",02-562-2158,127.0507411,37.5045825,20150901,1,0,0,0,1,0,0,0,0,0,0,0,0,0
더나인(The Nine)피부과의원,31,의원,110000,서울,110001,강남구,대치동,6192,"서울특별시 강남구 테헤란로64길 14, 108,109호 (대치동, 더 나인 오피스텔)",02-561-6718,127.0509843,37.5039858,19971120,1,0,0,0,1,0,0,0,0,0,0,0,0,0
푸른하늘이비인후과의원,31,의원,110000,서울,110001,강남구,대치동,6192,"서울특별시 강남구 선릉로86길 17, (대치동, 선릉 MT 빌딩)",02-554-7586,127.05109,37.5035623,20090529,1,0,0,0,1,0,0,0,0,0,0,0,0,0
비바치과의원,51,치과의원,110000,서울,110001,강남구,대치동,6192,"서울특별시 강남구 테헤란로64길 18, (대치동, 세화빌딩 7층일부)",02-556-8020,127.05122,37.503778,20130930,1,0,0,0,0,1,0,0,0,0,0,0,0,0
닥터로빈의원,31,의원,110000,서울,110001,강남구,대치동,6192,"서울특별시 강남구 테헤란로64길 20, (대치동)",02-552-9784,127.0512861,37.5036266,20040210,1,0,0,0,1,0,0,0,0,0,0,0,0,0
김유진치과의원,51,치과의원,110000,서울,110001,강남구,대치동,6199,"서울특별시 강남구 선릉로 340, 206호 (대치동, 이엠프라자)",02-568-5156,127.0514679,37.5002261,19780614,1,0,0,0,0,1,0,0,0,0,0,0,0,0
김영철내과의원,31,의원,110000,서울,110001,강남구,대치동,6199,"서울특별시 강남구 역삼로 406, (대치동)",02-566-6004,127.0516616,37.5006133,19860203,1,0,0,0,1,0,0,0,0,0,0,0,0,0
강남연세신통의원,31,의원,110000,서울,110001,강남구,대치동,6199,"서울특별시 강남구 선릉로 328, 2층 2호, 3호 (대치동)",567-8275,127.0519153,37.4990383,20000410,1,0,0,0,1,0,0,0,0,0,0,0,0,0
김성훈치과의원,51,치과의원,110000,서울,110001,강남구,대치동,6193,"서울특별시 강남구 선릉로86길 31, 201호 (대치동)",02-2038-2805,127.0520244,37.5042024,20190514,1,0,0,0,0,0,0,0,1,0,0,0,0,0
한티연세이비인후과의원,31,의원,110000,서울,110001,강남구,대치동,6205,"서울특별시 강남구 선릉로 314, 201호 (대치동)",02-568-8549,127.0524003,37.4978272,20121119,1,0,0,0,1,0,0,0,0,0,0,0,0,0
디케이치과의원,51,치과의원,110000,서울,110001,강남구,대치동,6205,"서울특별시 강남구 선릉로 314, (대치동, 202호,302호)",02-567-2811,127.0524003,37.4978272,20090428,1,0,0,0,0,1,0,0,0,0,0,0,0,0
김숙경산부인과의원,31,의원,110000,서울,110001,강남구,대치동,6206,"서울특별시 강남구 선릉로 312, 3층 (대치동)",02-567-7594,127.0526586,37.4975613,20040126,1,0,0,0,1,0,0,0,0,0,0,0,0,0
김혜영피부과의원,31,의원,110000,서울,110001,강남구,대치동,6206,"서울특별시 강남구 선릉로 312, 303호 (대치동)",02-567-0307,127.0526586,37.4975613,19990503,1,0,0,0,1,0,0,0,0,0,0,0,0,0
시카고치과의원,51,치과의원,110000,서울,110001,강남구,대치동,6206,"서울특별시 강남구 선릉로 312, 2층 28호 (대치동)",02-557-2288,127.0526586,37.4975613,20070221,2,0,0,0,0,2,0,0,0,0,0,0,0,0
허브신경과의원,31,의원,110000,서울,110001,강남구,대치동,6206,"서울특별시 강남구 선릉로64길 20, 4층 (대치동)",02-6012-7840,127.0539652,37.4979543,20071010,1,0,0,0,1,0,0,0,0,0,0,0,0,0
엠엑스의원,31,의원,110000,서울,110001,강남구,대치동,6206,"서울특별시 강남구 선릉로62길 19, 3층 (대치동)",02-564-8222,127.0541262,37.4976696,20001023,1,0,0,0,1,0,0,0,0,0,0,0,0,0
강남성원의원,31,의원,110000,서울,110001,강남구,대치동,6205,"서울특별시 강남구 선릉로64길 23, 3층 (대치동)",02-556-7567,127.0541902,37.4982899,20001219,1,0,0,0,1,0,0,0,0,0,0,0,0,0
